Java HotSpot(TM) 64-Bit Server VM (24.79-b02) for bsd-amd64 JRE (1.7.0_79-b15), built on Apr 10 2015 11:35:04 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(4194304k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=524288 -XX:NewSize=524288 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedOops -XX:+UseSerialGC 
0.402: [GC0.402: [DefNew: 420K->36K(448K), 0.0001750 secs] 874K->495K(1048512K), 0.0002330 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.412: [GC0.412: [DefNew: 420K->32K(448K), 0.0003860 secs] 879K->500K(1048512K), 0.0005110 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.421: [GC0.421: [DefNew: 416K->33K(448K), 0.0005380 secs] 884K->505K(1048512K), 0.0006090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.430: [GC0.430: [DefNew: 417K->31K(448K), 0.0001800 secs] 889K->509K(1048512K), 0.0002330 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.438: [GC0.439: [DefNew: 415K->36K(448K), 0.0002730 secs] 893K->513K(1048512K), 0.0003840 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.448: [GC0.448: [DefNew: 420K->36K(448K), 0.0003390 secs] 897K->518K(1048512K), 0.0004570 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.457: [GC0.457: [DefNew: 420K->31K(448K), 0.0003970 secs] 902K->522K(1048512K), 0.0005160 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.466: [GC0.466: [DefNew: 415K->35K(448K), 0.0001360 secs] 906K->526K(1048512K), 0.0001800 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.475: [GC0.475: [DefNew: 419K->35K(448K), 0.0003850 secs] 910K->530K(1048512K), 0.0004950 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.485: [GC0.485: [DefNew: 419K->35K(448K), 0.0002290 secs] 914K->535K(1048512K), 0.0002880 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.494: [GC0.494: [DefNew: 419K->35K(448K), 0.0002360 secs] 919K->539K(1048512K), 0.0003110 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.503: [GC0.503: [DefNew: 419K->35K(448K), 0.0002140 secs] 923K->543K(1048512K), 0.0002890 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.512: [GC0.513: [DefNew: 419K->34K(448K), 0.0003320 secs] 927K->548K(1048512K), 0.0004190 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.522: [GC0.522: [DefNew: 418K->35K(448K), 0.0004670 secs] 932K->553K(1048512K), 0.0005820 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.533: [GC0.533: [DefNew: 419K->35K(448K), 0.0001470 secs] 937K->557K(1048512K), 0.0002040 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.542: [GC0.542: [DefNew: 419K->35K(448K), 0.0004070 secs] 941K->561K(1048512K), 0.0005230 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.550: [GC0.550: [DefNew: 419K->34K(448K), 0.0001930 secs] 945K->565K(1048512K), 0.0002520 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
